Change Component Designator: Old Designator=C? New Designator=C14
Change Component Designator: Old Designator=J? New Designator=J6
Change Component Designator: Old Designator=J? New Designator=J7
Change Component Designator: Old Designator=R? New Designator=R13
Change Component Designator: Old Designator=R? New Designator=R14
Change Component Designator: Old Designator=R? New Designator=R15
Change Component Designator: Old Designator=R? New Designator=R16
Change Component Designator: Old Designator=R? New Designator=R13
Change Component Designator: Old Designator=R? New Designator=R14
Change Component Designator: Old Designator=R? New Designator=R15
Change Component Designator: Old Designator=R? New Designator=R16
Change Component Designator: Old Designator=R? New Designator=R13
Change Component Designator: Old Designator=R? New Designator=R14
Change Component Designator: Old Designator=R? New Designator=R15
Change Component Designator: Old Designator=R? New Designator=R16
Change Component Designator: Old Designator=R? New Designator=R13
Change Component Designator: Old Designator=R? New Designator=R14
Change Component Designator: Old Designator=R? New Designator=R15
Change Component Designator: Old Designator=R? New Designator=R16
Change Component Designator: Old Designator=U? New Designator=U6
